dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jr019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms091,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=th043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sailom,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ratingtest,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gb012,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=luxguang,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=shao,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grae,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mundt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=liebel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hellmich,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=merlin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wagner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gierend,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=proske,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bloecker,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=papendieck,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=breitschaft,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tsiounis,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=calvell,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vffvorstand,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=geisler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mistudent2,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jbuilder,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=till,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sprinzing,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bu001,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=im013,ou=userlist,dc=hdm-stuttgart,dc=de"
